tick,timestamp,agent_id,lat,lon,is_traveling,arrived,step_count,route_edge_count
1,2019-07-17T07:05:00,agent_0000,41.81378129709065,-87.62613519200384,False,False,0,0
1,2019-07-17T07:05:00,agent_0001,41.85375074911496,-87.632523244489,False,False,0,0
1,2019-07-17T07:05:00,agent_0003,41.79071906368965,-87.72447295004734,False,False,0,0
1,2019-07-17T07:05:00,agent_0004,41.941635364424315,-87.65792116318981,False,False,0,0
1,2019-07-17T07:05:00,agent_0005,41.69269520708677,-87.70564920192525,False,False,0,0
2,2019-07-17T07:10:00,agent_0000,41.81378129709065,-87.62613519200384,False,False,0,0
2,2019-07-17T07:10:00,agent_0001,41.85375074911496,-87.632523244489,False,False,0,0
2,2019-07-17T07:10:00,agent_0003,41.79071906368965,-87.72447295004734,False,False,0,0
2,2019-07-17T07:10:00,agent_0004,41.941635364424315,-87.65792116318981,False,False,0,0
2,2019-07-17T07:10:00,agent_0005,41.69269520708677,-87.70564920192525,False,False,0,0
3,2019-07-17T07:15:00,agent_0000,41.81378129709065,-87.62613519200384,False,False,0,0
3,2019-07-17T07:15:00,agent_0001,41.85375074911496,-87.632523244489,False,False,0,0
3,2019-07-17T07:15:00,agent_0003,41.79071906368965,-87.72447295004734,False,False,0,0
3,2019-07-17T07:15:00,agent_0004,41.941635364424315,-87.65792116318981,False,False,0,0
3,2019-07-17T07:15:00,agent_0005,41.69269520708677,-87.70564920192525,False,False,0,0
4,2019-07-17T07:20:00,agent_0000,41.81378129709065,-87.62613519200384,False,False,0,0
4,2019-07-17T07:20:00,agent_0001,41.85375074911496,-87.632523244489,False,False,0,0
4,2019-07-17T07:20:00,agent_0003,41.79071906368965,-87.72447295004734,False,False,0,0
4,2019-07-17T07:20:00,agent_0004,41.941635364424315,-87.65792116318981,False,False,0,0
4,2019-07-17T07:20:00,agent_0005,41.69269520708677,-87.70564920192525,False,False,0,0
5,2019-07-17T07:25:00,agent_0000,41.81378129709065,-87.62613519200384,False,False,0,0
5,2019-07-17T07:25:00,agent_0001,41.85375074911496,-87.632523244489,False,False,0,0
5,2019-07-17T07:25:00,agent_0003,41.79071906368965,-87.72447295004734,False,False,0,0
5,2019-07-17T07:25:00,agent_0004,41.941635364424315,-87.65792116318981,False,False,0,0
5,2019-07-17T07:25:00,agent_0005,41.69269520708677,-87.70564920192525,False,False,0,0
6,2019-07-17T07:30:00,agent_0000,41.81378129709065,-87.62613519200384,False,False,0,0
6,2019-07-17T07:30:00,agent_0001,41.85375074911496,-87.632523244489,False,False,0,0
6,2019-07-17T07:30:00,agent_0003,41.79071906368965,-87.72447295004734,False,False,0,0
6,2019-07-17T07:30:00,agent_0004,41.941635364424315,-87.65792116318981,False,False,0,0
6,2019-07-17T07:30:00,agent_0005,41.69269520708677,-87.70564920192525,False,False,0,0
7,2019-07-17T07:35:00,agent_0000,41.81378129709065,-87.62613519200384,False,False,0,0
7,2019-07-17T07:35:00,agent_0001,41.85375074911496,-87.632523244489,False,False,0,0
7,2019-07-17T07:35:00,agent_0003,41.79071906368965,-87.72447295004734,False,False,0,0
7,2019-07-17T07:35:00,agent_0004,41.941635364424315,-87.65792116318981,False,False,0,0
