,agent_idx,o_x,o_y,d_x,d_y,departure_sec
0,0,-87.69009235406418,41.801568167410665,-87.60777492747464,41.68528454780155,28800
1,0,-87.60777492747464,41.68528454780155,-87.69009235406418,41.801568167410665,54600
2,1,-87.70391816104369,42.01145281456124,-87.67985368416487,41.910667418138054,28800
3,1,-87.67985368416487,41.910667418138054,-87.70391816104369,42.01145281456124,34200
4,3,-87.6578803756353,41.715993427470686,-87.60770584215143,41.66297280357759,25200
5,4,-87.55509609570254,41.730838901395764,-87.76374224301075,41.79573690906813,28800
6,5,-87.81970763960389,42.010104472336515,-87.69020319944373,41.808035217460564,32400
7,6,-87.71368137596613,41.9893782720435,-87.59881918062587,41.73732895065763,23400
8,7,-87.70816732566054,41.8148046737017,-87.68655446981178,41.90536403004667,21600
9,7,-87.68655446981178,41.90536403004667,-87.58501678325763,41.74004106255844,28800
10,8,-87.68157555357877,41.899123727403115,-87.68099395320422,41.99100458409687,23400
11,8,-87.68099395320422,41.99100458409687,-87.70220539113004,41.93921507314923,31500
12,9,-87.7100976950766,41.98448445479023,-87.64467944047189,41.78715384501532,25200
13,10,-87.6410443947095,41.80694938572512,-87.66593699575357,41.83114874596981,25200
14,10,-87.66593699575357,41.83114874596981,-87.61888638978971,41.746334222237664,30600
15,11,-87.6900044846299,41.76918887196093,-87.58661085281398,41.76666265052665,25200
16,11,-87.58661085281398,41.76666265052665,-87.5725473442924,41.75192698752484,52200
17,12,-87.76972756955453,41.78823181254519,-87.74574270413709,41.92083651601007,25200
18,12,-87.74574270413709,41.92083651601007,-87.68893507163735,42.002205061064686,59400
19,13,-87.66506301417894,41.995318353789855,-87.66910070335841,41.94409973021191,23400
20,14,-87.64633686199618,41.737331274911085,-87.62074282481903,41.689521302730526,36000
21,15,-87.59518035473744,41.727940646707054,-87.71453479105324,41.939648060779646,23400
22,15,-87.71453479105324,41.939648060779646,-87.59518035473744,41.727940646707054,27000
23,15,-87.59518035473744,41.727940646707054,-87.68352941409306,41.759689526582044,43200
24,16,-87.65089213116431,41.72613923498198,-87.7055333115941,41.849562874683855,21600
25,17,-87.7903639245521,41.989176898661206,-87.7697653814035,41.91976900849017,25200
26,17,-87.7697653814035,41.91976900849017,-87.69933004664712,41.940540114504564,45000
27,18,-87.66919755095853,41.980221837311724,-87.73395939271043,41.96440458783523,25200
28,18,-87.73395939271043,41.96440458783523,-87.66919755095853,41.980221837311724,30600
29,19,-87.6846831319838,41.7825188688667,-87.69727249867961,41.896480517885315,63000
30,19,-87.69727249867961,41.896480517885315,-87.6846831319838,41.7825188688667,32400
31,20,-87.80782942597067,41.99182570960815,-87.681408609724,41.7987458355723,25200
32,21,-87.81745949196538,41.94686021108035,-87.67376117255013,41.9216666792917,21600
33,22,-87.66914723650989,41.90889678194667,-87.63221217493718,41.848961454461154,28800
34,23,-87.79363213369369,41.94065489193984,-87.58078600140817,41.75910719271226,23400
35,24,-87.73615133821987,41.95575457633945,-87.6860968258651,41.8777051159516,25200
36,25,-87.69454923597455,41.976109953608564,-87.65468879287168,41.85820919506212,28800
37,25,-87.65468879287168,41.85820919506212,-87.69454923597455,41.976109953608564,32400
38,26,-87.54081758829034,41.69847440855362,-87.69458705477284,41.93639372227407,28800
39,27,-87.68234957629856,42.01833976156526,-87.70438307481783,41.80971426137571,25200
40,28,-87.73191833362098,41.781501817806394,-87.62406815481222,41.75590870654541,27000
41,28,-87.62406815481222,41.75590870654541,-87.54347029182352,41.71352673668111,63000
42,29,-87.71126381710178,41.8401053504807,-87.70471397027794,41.85311720470578,32400
43,29,-87.70471397027794,41.85311720470578,-87.71126381710178,41.8401053504807,36000
44,30,-87.71168920900053,41.74914619112785,-87.6202655909047,41.85520717439051,28800
45,30,-87.6202655909047,41.85520717439051,-87.70389809962435,41.897657335748406,58500
46,31,-87.71595817281431,41.95045708552586,-87.5809818183444,41.75898484686715,21600
